"PointID","x","y","z","Density_0","Density_1","Momentum_x","Momentum_y","Momentum_z","Energy","Energy_ve","MassFrac_0","MassFrac_1","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient"
173, 3.515995187248769e-02, 9.736801895416480e-02, 0.000000000000000e+00, 1.264031226577992e-03, 1.364412429043408e-03, 4.101270254015621e+00, 4.917576442633464e+00, 1.219901703241196e-01, 7.289773863002140e+04, 4.784528751790045e+03, 4.809048213282539e-01, 5.190951786717460e-01, 7.963490354575555e+03, 6.719726326604830e+03, 8.387027301729540e+03, 1.124220111559089e+00, 1.005212072196814e+00
174, 3.089480600245098e-02, 9.199047685286767e-02, 0.000000000000000e+00, 1.337806817798308e-03, 1.469392537981519e-03, 3.894862789854199e+00, 5.126128679791612e+00, 1.330151305592285e-01, 7.766394997924924e+04, 5.116513720902070e+03, 4.765628116306943e-01, 5.234371883693058e-01, 8.710403196765456e+03, 6.862340049600718e+03, 8.395876768423477e+03, 1.045419670763406e+00, 1.099727585139213e+00
175, 2.687611235744550e-02, 8.642634801436050e-02, 0.000000000000000e+00, 1.410626193644538e-03, 1.574538169431026e-03, 3.673491569471285e+00, 5.305160736695086e+00, 1.415735097484082e-01, 8.242216342306411e+04, 5.458600165505643e+03, 4.725455693807071e-01, 5.274544306192930e-01, 9.440509156766917e+03, 6.975746527551399e+03, 8.411861601246346e+03, 9.757383200162029e-01, 1.192116329064834e+00
176, 2.311202216095348e-02, 8.068691830953902e-02, 0.000000000000000e+00, 1.481977779200192e-03, 1.680006235488372e-03, 3.415065860607200e+00, 5.439454141601661e+00, 1.498102916620807e-01, 8.714902019925168e+04, 5.808151670683523e+03, 4.686860440520467e-01, 5.313139559479532e-01, 1.016919330636504e+04, 7.076106765665318e+03, 8.432496154153341e+03, 9.089222191713996e-01, 1.284325154890260e+00
177, 1.961017021749339e-02, 7.478382917672056e-02, 0.000000000000000e+00, 1.549780269042819e-03, 1.783040165282628e-03, 3.124335094840679e+00, 5.511213922028386e+00, 1.558802635415358e-01, 9.171120516488196e+04, 6.157762963017302e+03, 4.650056309908846e-01, 5.349943690091153e-01, 1.088140367857004e+04, 7.166349830420721e+03, 8.457896891866403e+03, 8.439718168586910e-01, 1.374449363297883e+00
178, 1.637765942674216e-02, 6.872905400900449e-02, 0.000000000000000e+00, 1.614894618456182e-03, 1.883595462818878e-03, 2.807982456393210e+00, 5.515279804584283e+00, 1.613267811871731e-01, 9.612784052230582e+04, 6.512426215618531e+03, 4.615975980894070e-01, 5.384024019105931e-01, 1.158226588085380e+04, 7.250612889557357e+03, 8.489339439611649e+03, 7.798061031100000e-01, 1.463137556630549e+00
179, 1.342104637653449e-02, 6.253487386831949e-02, 0.000000000000000e+00, 1.679279962768228e-03, 1.982900896265046e-03, 2.472073818511810e+00, 5.445104904245853e+00, 1.691319121663490e-01, 1.004797207903571e+05, 6.882553649636025e+03, 4.585464310496988e-01, 5.414535689503012e-01, 1.228689768664619e+04, 7.333373259342456e+03, 8.528391543664475e+03, 7.148775958938902e-01, 1.552302761455163e+00
180, 1.074632804396089e-02, 5.621385257541836e-02, 0.000000000000000e+00, 1.740919720536106e-03, 2.077689963682729e-03, 2.122263316124700e+00, 5.289924670384550e+00, 1.804192629715369e-01, 1.046228207051248e+05, 7.262966547667047e+03, 4.559040762219830e-01, 5.440959237780170e-01, 1.297385547590281e+04, 7.413465901107435e+03, 8.576508054968144e+03, 6.492912575582197e-01, 1.639231468733780e+00
181, 8.358929631539169e-03, 4.977881122634524e-02, 0.000000000000000e+00, 1.797043117373552e-03, 2.163226308538449e-03, 1.767984531113275e+00, 5.046271576212992e+00, 1.924809437273794e-01, 1.083557231273919e+05, 7.646038571386319e+03, 4.537678940769831e-01, 5.462321059230169e-01, 1.361102426464442e+04, 7.488988664882147e+03, 8.636079958605114e+03, 5.839291896501074e-01, 1.719859798435854e+00
182, 6.263693563131251e-03, 4.324280218706467e-02, 0.000000000000000e+00, 1.848593316128241e-03, 2.238240731497147e-03, 1.421325255914493e+00, 4.717058457405171e+00, 2.062231259713715e-01, 1.116678970215219e+05, 8.042309721747692e+03, 4.523289408343719e-01, 5.476710591656281e-01, 1.419774220303859e+04, 7.562848601550111e+03, 8.711617992998072e+03, 5.186111822212639e-01, 1.794103999054021e+00
183, 4.464869661926191e-03, 3.661908261899963e-02, 0.000000000000000e+00, 1.896479710272702e-03, 2.300966054519828e-03, 1.092792906421147e+00, 4.302513862109592e+00, 2.218194401333544e-01, 1.145322668256137e+05, 8.465671675942927e+03, 4.518175615704331e-01, 5.481824384295669e-01, 1.473399070575177e+04, 7.639148387945162e+03, 8.809335398944677e+03, 4.527831914127196e-01, 1.861961718771261e+00
184, 2.966106530410018e-03, 2.992108758917743e-02, 0.000000000000000e+00, 1.941007757294749e-03, 2.347708904029954e-03, 7.925955522808703e-01, 3.801287958408341e+00, 2.397718859038081e-01, 1.168509701889828e+05, 8.933635642185498e+03, 4.525847498387102e-01, 5.474152501612898e-01, 1.521343426066417e+04, 7.723689727896419e+03, 8.939085560781677e+03, 3.858805985294916e-01, 1.922631252028465e+00
185, 1.770444149808204e-03, 2.316240281952531e-02, 0.000000000000000e+00, 1.982086320490995e-03, 2.371574198026687e-03, 5.320320715459480e-01, 3.212704409562597e+00, 2.602531974008812e-01, 1.184255303234212e+05, 9.473494034095040e+03, 4.552689195816876e-01, 5.447310804183123e-01, 1.562439807985142e+04, 7.827582144744846e+03, 9.118307799286413e+03, 3.174158586839356e-01, 1.974635253000474e+00
186, 8.803077140108195e-04, 1.635673713058785e-02, 0.000000000000000e+00, 2.017391321615053e-03, 2.356478857374537e-03, 3.253430890441054e-01, 2.542543700077887e+00, 2.796040320323147e-01, 1.187323803693364e+05, 1.012410924679079e+04, 4.612371284602443e-01, 5.387628715397558e-01, 1.593033659636233e+04, 7.974788052760910e+03, 9.381469884692706e+03, 2.476649107550594e-01, 2.013349188795292e+00
187, 2.975027104868411e-04, 9.517894635561252e-03, 0.000000000000000e+00, 2.049030780869648e-03, 2.273002450789487e-03, 1.952434882271619e-01, 1.803749441749209e+00, 2.788755446938573e-01, 1.169528559954293e+05, 1.099474906755611e+04, 4.740895479147137e-01, 5.259104520852863e-01, 1.612389970733911e+04, 8.237296965870375e+03, 9.808798182665487e+03, 1.764871648005192e-01, 2.037842965963534e+00
188, 2.321125816595604e-05, 2.659746741042024e-03, 0.000000000000000e+00, 2.128505829116039e-03, 2.050263125674934e-03, 2.066277491996421e-01, 8.371731584098393e-01, 2.711048271035666e-01, 1.121296607224981e+05, 1.267512740188512e+04, 5.093619322206604e-01, 4.906380677793397e-01, 1.654330728341132e+04, 8.948156141584757e+03, 1.070122459857121e+04, 8.752055608857032e-02, 2.090915453066807e+00
4159, 1.295000000000000e+00, 3.301762424406446e-01, 5.821897993122498e-02, 1.411575523268637e-04, 1.265283817938585e-04, 1.193637788539595e+00, 1.858795391756653e-01, 3.413569502526544e-02, 8.071284763877752e+03, 5.275625440597870e+02, 5.273252507291020e-01, 4.726747492708980e-01, 3.037455067555834e+02, 2.596027300235108e+03, 8.665451373730320e+03, 3.417243813246281e+00, 3.593604371538518e-02
4160, 1.295000000000000e+00, 3.339939405931418e-01, 2.922068348825083e-02, 1.418492512852033e-04, 1.411640070477451e-04, 1.218467468005056e+00, 1.920673478713456e-01, 1.680371557209152e-02, 8.555436189171038e+03, 5.173765010172293e+02, 5.012106221480481e-01, 4.987893778519520e-01, 3.305259650988507e+02, 2.625366738571108e+03, 8.385001531074522e+03, 3.244849159222988e+00, 3.932488457361067e-02
