"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
1334, 2.050479997007384e+00, -1.574365771413275e+01, 9.677645372169573e+01, -7.357368899367578e-02, -5.959755144491814e-03, 2.610367768921964e-05, 0.000000000000000e+00, 0.000000000000000e+00, -5.271967366284208e-06
1335, 2.055660497979758e+00, -1.574362874240661e+01, 9.674021268230884e+01, -7.354757971685777e-02, -5.952914092360608e-03, 2.609520963876817e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.933199796534033e-06
1336, 2.060840999085547e+00, -1.574359979454692e+01, 9.704376918309886e+01, -7.377631256497877e-02, -5.952577560350514e-03, 2.617299507140878e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.258101846014200e-06
1337, 2.066021500322696e+00, -1.574357087020214e+01, 9.712370587983879e+01, -7.383758023292782e-02, -5.948983177826722e-03, 2.619438470326255e-05, 0.000000000000000e+00, 0.000000000000000e+00, -2.466553870337936e-06
1338, 2.071202001689091e+00, -1.574354196900866e+01, 9.719893881549856e+01, -7.389546126603343e-02, -5.945742608158553e-03, 2.621477472185429e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.314075847379247e-06
1339, 2.076382503182658e+00, -1.574351309059932e+01, 9.728724081546108e+01, -7.396306403456779e-02, -5.940861986269997e-03, 2.623831509060965e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.559975086097261e-06
1340, 2.081563004802124e+00, -1.574348423476351e+01, 9.722017036618089e+01, -7.391359715778925e-02, -5.932529275013429e-03, 2.622201067573720e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.864219442970112e-06
1341, 2.086743506546952e+00, -1.574345540144704e+01, 9.736552798975711e+01, -7.402376170292513e-02, -5.927912463257745e-03, 2.625964998097972e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.353187164321723e-06
1342, 2.091924008416791e+00, -1.574342659060543e+01, 9.746642358708434e+01, -7.410086456160829e-02, -5.923793673187691e-03, 2.628639060849757e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.960117062115184e-06
1343, 2.097104510411316e+00, -1.574339780219777e+01, 9.752534176069939e+01, -7.414609964079211e-02, -5.916909602187271e-03, 2.630211752332836e-05, 0.000000000000000e+00, 0.000000000000000e+00, -5.288306630812608e-06
1344, 2.102285012530224e+00, -1.574336903618671e+01, 9.756907567121422e+01, -7.418002398555723e-02, -5.909820010379315e-03, 2.631402498324503e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.381014722467699e-06
1345, 2.107465523632079e+00, -1.574334029248925e+01, 9.790118638008326e+01, -7.443033533187143e-02, -5.908936331509566e-03, 2.639910987687347e-05, 0.000000000000000e+00, 0.000000000000000e+00, -2.771309926544122e-06
1346, 2.112646016436499e+00, -1.574331157122625e+01, 9.793483801239249e+01, -7.445681978879752e-02, -5.903256014294171e-03, 2.640876234033576e-05, 0.000000000000000e+00, 0.000000000000000e+00, -2.704741642568935e-06
1347, 2.117826509711648e+00, -1.574328287226653e+01, 9.789983569534064e+01, -7.443108074048770e-02, -5.893477848255507e-03, 2.640019833673022e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.793462467331273e-06
1348, 2.123007022244344e+00, -1.574325419548250e+01, 9.807771565292774e+01, -7.456572726301518e-02, -5.889240225073963e-03, 2.644607150919887e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.984091884617585e-06
1349, 2.128187524981328e+00, -1.574322554101474e+01, 9.826468764320474e+01, -7.470768566167459e-02, -5.886542690164911e-03, 2.649482339869746e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.119795096941812e-06
1350, 2.133368027841297e+00, -1.574319690879132e+01, 9.821206157415351e+01, -7.466892797333205e-02, -5.877841174574809e-03, 2.648200446762417e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.762591989921240e-06
1351, 2.138548530824078e+00, -1.574316829879850e+01, 9.838185450574184e+01, -7.479751629982781e-02, -5.873124380268865e-03, 2.652577363370393e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.344683008123612e-06
1352, 2.143729033929525e+00, -1.574313971102581e+01, 9.856216764388273e+01, -7.493440907578267e-02, -5.870598750027218e-03, 2.657269212280216e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.259964885013920e-06
1353, 2.148909537157502e+00, -1.574311114546598e+01, 9.864729449294686e+01, -7.499968264611490e-02, -5.866087940828021e-03, 2.659537203793738e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.402937377239789e-06
1354, 2.154090040507897e+00, -1.574308260211497e+01, 9.867653180907661e+01, -7.502259316018986e-02, -5.859852230682485e-03, 2.660340492159693e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.907050352555110e-06
1355, 2.159270543980608e+00, -1.574305408097188e+01, 9.879824039738025e+01, -7.511512956894296e-02, -5.855785869519105e-03, 2.663500908390225e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.132623680285930e-06
1356, 2.164451047575558e+00, -1.574302558203898e+01, 9.896164959077372e+01, -7.523928252038173e-02, -5.853429000326630e-03, 2.667760490652719e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.455065330849412e-06
1357, 2.169631551292680e+00, -1.574299710532171e+01, 9.893522024712979e+01, -7.522030329073998e-02, -5.847639086084335e-03, 2.667130791632080e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.273665408859605e-06
1358, 2.174812055131928e+00, -1.574296865082860e+01, 9.924350183508196e+01, -7.545389563129318e-02, -5.847759881568328e-03, 2.675152843585587e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.625602209957082e-06
1359, 2.179992559093271e+00, -1.574294021857132e+01, 9.934181352409348e+01, -7.552923730894552e-02, -5.845103434106553e-03, 2.677785221167752e-05, 0.000000000000000e+00, 0.000000000000000e+00, -2.702581616606156e-06
1360, 2.185173063176693e+00, -1.574291180856463e+01, 9.929626288427032e+01, -7.549566407071334e-02, -5.838558979573582e-03, 2.676662000816685e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.984769953263400e-06
1361, 2.190353567382197e+00, -1.574288342082640e+01, 9.949838113168086e+01, -7.564914164392762e-02, -5.836955394122188e-03, 2.681947468831763e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.897267973927228e-06
1362, 2.195534071709802e+00, -1.574285505537757e+01, 9.956041986791490e+01, -7.569689612769911e-02, -5.832754060326422e-03, 2.683612293167110e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.264581449422976e-06
1363, 2.200714576159541e+00, -1.574282671224220e+01, 9.963893647322530e+01, -7.575728407459426e-02, -5.829362271854718e-03, 2.685732570350068e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.641145890993657e-06
1364, 2.205895080731467e+00, -1.574279839144739e+01, 9.969947535868977e+01, -7.580402213489361e-02, -5.824198331332115e-03, 2.687374883850586e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.338797308095232e-06
1365, 2.211075585425645e+00, -1.574277009302336e+01, 9.974114787959488e+01, -7.583637288889887e-02, -5.818240671502150e-03, 2.688513411868088e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.219425885565332e-06
