VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_N2]"  ,   "rms[Rho_N]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
        171,           0,           0,               -32,               -32,       4.005716571,       4.005716571,               -32,               -32
        172,           0,           0,               -32,               -32,        4.00571657,        4.00571657,               -32,               -32
        173,           0,           0,               -32,               -32,        4.00571657,        4.00571657,               -32,               -32
        174,           0,           0,               -32,               -32,       4.005716569,       4.005716569,               -32,               -32
        175,           0,           0,               -32,               -32,       4.005716569,       4.005716569,               -32,               -32
        176,           0,           0,               -32,               -32,       4.005716568,       4.005716568,               -32,               -32
        177,           0,           0,               -32,               -32,       4.005716568,       4.005716568,               -32,               -32
        178,           0,           0,               -32,               -32,       4.005716567,       4.005716567,               -32,               -32
        179,           0,           0,               -32,               -32,       4.005716567,       4.005716567,               -32,               -32
        180,           0,           0,               -32,               -32,       4.005716566,       4.005716566,               -32,               -32
        181,           0,           0,               -32,               -32,       4.005716565,       4.005716565,               -32,               -32
        182,           0,           0,               -32,               -32,       4.005716565,       4.005716565,               -32,               -32
        183,           0,           0,               -32,               -32,       4.005716564,       4.005716564,               -32,               -32
        184,           0,           0,               -32,               -32,       4.005716564,       4.005716564,               -32,               -32
        185,           0,           0,               -32,               -32,       4.005716563,       4.005716563,               -32,               -32
        186,           0,           0,               -32,               -32,       4.005716563,       4.005716563,               -32,               -32
        187,           0,           0,               -32,               -32,       4.005716562,       4.005716562,               -32,               -32
        188,           0,           0,               -32,               -32,       4.005716562,       4.005716562,               -32,               -32
        189,           0,           0,               -32,               -32,       4.005716561,       4.005716561,               -32,               -32
        190,           0,           0,               -32,               -32,       4.005716561,       4.005716561,               -32,               -32
        191,           0,           0,               -32,               -32,        4.00571656,        4.00571656,               -32,               -32
        192,           0,           0,               -32,               -32,        4.00571656,        4.00571656,               -32,               -32
        193,           0,           0,               -32,               -32,       4.005716559,       4.005716559,               -32,               -32
        194,           0,           0,               -32,               -32,       4.005716559,       4.005716559,               -32,               -32
        195,           0,           0,               -32,               -32,       4.005716558,       4.005716558,               -32,               -32
        196,           0,           0,               -32,               -32,       4.005716557,       4.005716557,               -32,               -32
        197,           0,           0,               -32,               -32,       4.005716557,       4.005716557,               -32,               -32
        198,           0,           0,               -32,               -32,       4.005716556,       4.005716556,               -32,               -32
        199,           0,           0,               -32,               -32,       4.005716556,       4.005716556,               -32,               -32
        200,           0,           0,               -32,               -32,       4.005716555,       4.005716555,               -32,               -32
        201,           0,           0,               -32,               -32,       4.005716555,       4.005716555,               -32,               -32
        202,           0,           0,               -32,               -32,       4.005716554,       4.005716554,               -32,               -32
        203,           0,           0,               -32,               -32,       4.005716553,       4.005716553,               -32,               -32
        204,           0,           0,               -32,               -32,       4.005716553,       4.005716553,               -32,               -32
        205,           0,           0,               -32,               -32,       4.005716552,       4.005716552,               -32,               -32
        206,           0,           0,               -32,               -32,       4.005716552,       4.005716552,               -32,               -32
        207,           0,           0,               -32,               -32,       4.005716551,       4.005716551,               -32,               -32
        208,           0,           0,               -32,               -32,        4.00571655,        4.00571655,               -32,               -32
        209,           0,           0,               -32,               -32,        4.00571655,        4.00571655,               -32,               -32
        210,           0,           0,               -32,               -32,       4.005716549,       4.005716549,               -32,               -32
        211,           0,           0,               -32,               -32,       4.005716549,       4.005716549,               -32,               -32
        212,           0,           0,               -32,               -32,       4.005716548,       4.005716548,               -32,               -32
        213,           0,           0,               -32,               -32,       4.005716547,       4.005716547,               -32,               -32
        214,           0,           0,               -32,               -32,       4.005716547,       4.005716547,               -32,               -32
        215,           0,           0,               -32,               -32,       4.005716546,       4.005716546,               -32,               -32
        216,           0,           0,               -32,               -32,       4.005716546,       4.005716546,               -32,               -32
        217,           0,           0,               -32,               -32,       4.005716545,       4.005716545,               -32,               -32
        218,           0,           0,               -32,               -32,       4.005716544,       4.005716544,               -32,               -32
        219,           0,           0,               -32,               -32,       4.005716544,       4.005716544,               -32,               -32
        220,           0,           0,               -32,               -32,       4.005716543,       4.005716543,               -32,               -32
        221,           0,           0,               -32,               -32,       4.005716542,       4.005716542,               -32,               -32
        222,           0,           0,               -32,               -32,       4.005716542,       4.005716542,               -32,               -32
        223,           0,           0,               -32,               -32,       4.005716541,       4.005716541,               -32,               -32
        224,           0,           0,               -32,               -32,       4.005716541,       4.005716541,               -32,               -32
        225,           0,           0,               -32,               -32,        4.00571654,        4.00571654,               -32,               -32
        226,           0,           0,               -32,               -32,       4.005716539,       4.005716539,               -32,               -32
        227,           0,           0,               -32,               -32,       4.005716539,       4.005716539,               -32,               -32
        228,           0,           0,               -32,               -32,       4.005716538,       4.005716538,               -32,               -32
        229,           0,           0,               -32,               -32,       4.005716537,       4.005716537,               -32,               -32
        230,           0,           0,               -32,               -32,       4.005716537,       4.005716537,               -32,               -32
        231,           0,           0,               -32,               -32,       4.005716536,       4.005716536,               -32,               -32
        232,           0,           0,               -32,               -32,       4.005716535,       4.005716535,               -32,               -32
        233,           0,           0,               -32,               -32,       4.005716535,       4.005716535,               -32,               -32
        234,           0,           0,               -32,               -32,       4.005716534,       4.005716534,               -32,               -32
        235,           0,           0,               -32,               -32,       4.005716533,       4.005716533,               -32,               -32
        236,           0,           0,               -32,               -32,       4.005716533,       4.005716533,               -32,               -32
        237,           0,           0,               -32,               -32,       4.005716532,       4.005716532,               -32,               -32
        238,           0,           0,               -32,               -32,       4.005716531,       4.005716531,               -32,               -32
        239,           0,           0,               -32,               -32,       4.005716531,       4.005716531,               -32,               -32
        240,           0,           0,               -32,               -32,        4.00571653,        4.00571653,               -32,               -32
        241,           0,           0,               -32,               -32,       4.005716529,       4.005716529,               -32,               -32
        242,           0,           0,               -32,               -32,       4.005716529,       4.005716529,               -32,               -32
        243,           0,           0,               -32,               -32,       4.005716528,       4.005716528,               -32,               -32
        244,           0,           0,               -32,               -32,       4.005716527,       4.005716527,               -32,               -32
        245,           0,           0,               -32,               -32,       4.005716526,       4.005716526,               -32,               -32
