"PointID","x","y","Density_0","Density_1","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
36, 1.084576779974253e-01, 9.941010673384305e-01, 1.230370063962001e-03, 4.279923840459738e-05, 0.000000000000000e+00, 0.000000000000000e+00, 2.602730261500364e+03, 5.514561152999327e+01, 9.663837022106635e-01, 3.361629778933650e-02, 4.556678422308112e+02, 1.166634076533522e+03, 1.075650573050370e+03, 0.000000000000000e+00, 5.150160734913701e-02, 4.486298142663680e-05, 1.346577761775984e-03, -1.469133291207642e-04, 1.527295562339525e+04, 2.558349542261602e+01
37, 6.909944820287792e-02, 9.976097765449463e-01, 1.447209572172846e-03, 4.832936123514007e-05, 0.000000000000000e+00, 0.000000000000000e+00, 3.022810143499155e+03, 6.570933604357705e+01, 9.676843175690460e-01, 3.231568243095395e-02, 5.469921730204104e+02, 1.193720489139256e+03, 1.079888727830257e+03, 0.000000000000000e+00, 6.309569821886042e-02, 4.557484036811320e-05, 1.359295292755452e-03, -9.415159803212045e-05, 1.604966969076091e+04, 2.737503910786399e+01
38, 2.963332782255967e-02, 9.995608365087943e-01, 1.691207997178747e-03, 5.419202160633721e-05, 0.000000000000000e+00, 0.000000000000000e+00, 3.490010646412712e+03, 7.777310090370770e+01, 9.689515176904498e-01, 3.104848230955017e-02, 6.522679054123084e+02, 1.221191382110536e+03, 1.084094204311259e+03, 0.000000000000000e+00, 7.646099087608686e-02, 4.629290106226554e-05, 1.368173346219592e-03, -4.056134234732394e-05, 1.684336355017788e+04, 2.918122516773203e+01
39, -9.879061481465589e-03, 9.999512008814457e-01, 1.964142948817089e-03, 6.037345439762065e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.007443030642479e+03, 9.147138163159003e+01, 9.701788267549949e-01, 2.982117324500520e-02, 7.728739054156212e+02, 1.248985258451650e+03, 1.088286445662379e+03, 0.000000000000000e+00, 9.177253941284899e-02, 4.701559655094048e-05, 1.373125688210032e-03, 1.356585509737343e-05, 1.765381541995747e+04, 3.099480627802727e+01
40, -4.937602580370293e-02, 9.987802601552717e-01, 2.267712365536726e-03, 6.685890055605479e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.578252189365261e+03, 1.069430477355311e+02, 9.713613794844856e-01, 2.863862051551425e-02, 9.102132377693445e+02, 1.277041380731905e+03, 1.092487747772248e+03, 0.000000000000000e+00, 1.092084700737015e-01, 4.774140466873072e-05, 1.374084479353015e-03, 6.792968725519179e-05, 1.848079436062120e+04, 3.280836602409922e+01
41, -8.879589532293478e-02, 9.960498426152169e-01, 2.603502661367558e-03, 7.363270491640395e-05, 0.000000000000000e+00, 0.000000000000000e+00, 5.205572690176929e+03, 1.243314834943190e+02, 9.724957109589080e-01, 2.750428904109206e-02, 1.065694174934464e+03, 1.305300191986612e+03, 1.096723947997089e+03, 0.000000000000000e+00, 1.289475702501405e-01, 4.846885685827922e-05, 1.371002826221068e-03, 1.222222204512701e-04, 1.932401015100564e+04, 3.461429675314009e+01
42, -1.280771205923270e-01, 9.917642114841504e-01, 2.972953988264576e-03, 8.067835727664496e-05, 0.000000000000000e+00, 0.000000000000000e+00, 5.892474830525135e+03, 1.437850638827646e+02, 9.735795445727289e-01, 2.642045542727104e-02, 1.240707820238683e+03, 1.333703400944876e+03, 1.101025206982740e+03, 0.000000000000000e+00, 1.511664476243808e-01, 4.919653821258470e-05, 1.363856865538272e-03, 1.761294249333891e-04, 2.018307223307084e+04, 3.640478704690936e+01
43, -1.671583686415836e-01, 9.859300582663481e-01, 3.377322636513010e-03, 8.797849284647312e-05, 0.000000000000000e+00, 0.000000000000000e+00, 6.641900907180041e+03, 1.654580949181521e+02, 9.746115879797336e-01, 2.538841202026643e-02, 1.436602166932713e+03, 1.362193854411101e+03, 1.105426874253317e+03, 0.000000000000000e+00, 1.760362368338775e-01, 4.992308220672308e-05, 1.352647483857496e-03, 2.293330493912995e-04, 2.105745724105496e+04, 3.817181804260260e+01
44, -2.059786187410985e-01, 9.785564922995040e-01, 3.817640389031041e-03, 9.551486661554957e-05, 0.000000000000000e+00, 0.000000000000000e+00, 7.456591695519676e+03, 1.895123042520429e+02, 9.755913424396530e-01, 2.440865756034695e-02, 1.654652364355458e+03, 1.390715290902079e+03, 1.109970344492467e+03, 0.000000000000000e+00, 2.037188246089237e-01, 5.064716270159319e-05, 1.337401760729663e-03, 2.815127890364995e-04, 2.194648465045413e+04, 3.990716688499766e+01
45, -2.444772576785826e-01, 9.696550265315804e-01, 4.294670207955496e-03, 1.032683129410092e-04, 0.000000000000000e+00, 0.000000000000000e+00, 8.339002578727659e+03, 2.161189229164283e+02, 9.765189275724668e-01, 2.348107242753323e-02, 1.896026801756063e+03, 1.419212041262797e+03, 1.114703890556120e+03, 0.000000000000000e+00, 2.343625439403956e-01, 5.136748497777553e-05, 1.318174215499172e-03, 3.323487307651883e-04, 2.284929992842465e+04, 4.160241466882962e+01
